"service_id","monday","tuesday","wednesday","thursday","friday","saturday","sunday","start_date","end_date"
"3-307","1","1","1","1","1","0","0","20260210","20270210"
"3-308","1","1","1","1","1","1","1","20260210","20270210"
"3-309","1","1","1","1","1","0","0","20260210","20270210"
"3-311","1","1","1","1","1","0","0","20260210","20261211"
"3-312","1","1","1","1","1","0","0","20260210","20261211"
"3-313","0","0","0","0","0","1","0","20260214","20261212"
"3-315","0","0","0","0","0","0","1","20260215","20261206"
"3-317","1","1","1","1","1","0","0","20260211","20261211"
"3-318","0","0","0","0","0","1","0","20260228","20261212"
"3-32","1","0","0","0","0","0","0","20260209","20270208"
"3-320","1","1","1","1","1","0","0","20260210","20261211"
"3-321","1","1","1","1","1","0","0","20260210","20261211"
"3-323","1","1","1","1","1","0","0","20260210","20261211"
"3-325","1","1","1","1","1","0","0","20260210","20261211"
"3-326","1","1","1","1","1","0","0","20260210","20261211"
"3-327","0","0","0","0","0","1","0","20260228","20261212"
"3-328","1","1","1","1","1","0","0","20260210","20261211"
"3-329","1","1","1","1","1","0","0","20260210","20261211"
"3-33","1","1","1","1","1","0","0","20260209","20270210"
"3-330","0","0","0","0","0","1","0","20260214","20261212"
"3-331","0","0","0","0","0","0","1","20260215","20261206"
"3-332","1","1","1","1","1","0","0","20260210","20261211"
"3-333","1","1","1","1","1","1","0","20260210","20261212"
"3-334","1","1","1","1","1","1","0","20260210","20261212"
"3-335","1","1","1","1","1","1","0","20260210","20261212"
"3-336","1","1","1","1","0","1","0","20260210","20261212"
"3-337","1","1","1","1","1","1","0","20260210","20261212"
"3-34","0","0","0","0","1","0","0","20260213","20270205"
"3-340","1","1","1","1","0","0","0","20260210","20261210"
"3-341","1","1","1","1","0","0","0","20260210","20261210"
"3-342","1","1","1","1","1","1","0","20260210","20261212"
"3-343","1","1","1","1","1","1","0","20260213","20261212"
"3-344","0","1","1","1","0","0","0","20260210","20260212"
"3-345","1","1","1","1","1","1","0","20260210","20261212"
"3-346","1","1","1","1","1","1","0","20260210","20261212"
"3-347","0","0","0","0","0","0","1","20260215","20261206"
"3-348","0","0","0","0","0","1","0","20260214","20261212"
"3-349","1","1","1","1","1","0","0","20260220","20261211"
"3-35","0","0","0","0","0","1","1","20260214","20270207"
"3-350","0","0","0","0","0","1","0","20260221","20261212"
"3-351","0","1","1","1","1","1","0","20260210","20260214"
"3-352","0","0","0","0","0","0","1","20260222","20261206"
"3-353","0","0","0","0","0","0","1","20260222","20261206"
"3-354","1","0","0","0","0","0","0","20260216","20261207"
"3-355","0","1","1","1","1","0","0","20260210","20261211"
"3-356a92b2f0d531ae7867","1","0","0","0","0","0","0","20260216","20260727"
"3-36","0","0","0","0","0","0","1","20260215","20270207"
"3-361","1","1","1","1","1","1","0","20260213","20261212"
"3-362","0","0","0","0","1","1","0","20260213","20261212"
"3-363","0","0","0","0","1","0","0","20260213","20261211"
"3-364","0","0","0","0","0","0","1","20260215","20261206"
"3-365","1","1","1","1","0","1","0","20260210","20261212"
"3-366","1","1","1","1","1","1","0","20260213","20261212"
"3-368","1","1","1","1","1","1","0","20260212","20261212"
"3-369","0","1","1","0","0","0","0","20260210","20260211"
"3-37","1","0","0","0","0","0","0","20260209","20270208"
"3-370","1","1","1","0","0","0","0","20260216","20260218"
"3-38","0","1","1","1","1","0","0","20260210","20270210"
"3-380","1","0","0","0","0","0","0","20260216","20261207"
"3-381","1","1","1","1","1","1","1","20260210","20260419"
"3-389","1","1","1","1","1","0","0","20260210","20260724"
"3-390","0","0","0","0","0","1","0","20260214","20260725"
"3-391","0","0","0","0","0","0","1","20260215","20260719"
"3-392","1","1","1","1","1","1","0","20260210","20260725"
"3-4","0","0","0","0","1","0","0","20260213","20260828"
"3-40","1","1","1","1","1","0","0","20260209","20270210"
"3-41","1","1","1","1","1","1","0","20260209","20270210"
"3-42","0","1","0","0","0","0","0","20260210","20270209"
"3-43","0","0","0","1","0","0","0","20260212","20270204"
"3-44","1","1","1","1","1","0","0","20260401","20270210"
"3-46","0","0","0","0","0","1","0","20260404","20270206"
"3-47","0","0","0","0","0","1","0","20260214","20270206"
"3-48","1","1","1","1","1","1","1","20260209","20260415"
"3-49","1","0","0","0","1","1","1","20260209","20260413"
"3-5","1","1","1","1","1","1","0","20260209","20260926"
"3-50","0","0","0","1","1","0","0","20260212","20270205"
"3-51","1","1","1","0","1","1","0","20260209","20270210"
"3-53","1","1","1","1","1","0","0","20260302","20270210"
"3-57","0","0","0","0","0","1","1","20260301","20270207"
"3-6","0","0","0","0","0","0","1","20260215","20260920"
"3-60","0","0","0","0","1","0","0","20260213","20270205"
"3-61","0","0","1","0","0","0","0","20260211","20270210"
"3-62","1","1","1","1","1","0","0","20260601","20260930"
"3-63","0","0","0","0","0","0","1","20260215","20270207"
"3-64","0","1","0","0","1","0","0","20260210","20270209"
"3-65","1","0","0","0","0","0","0","20260209","20260209"
"3-66","1","1","1","1","1","1","0","20260209","20270210"
"3-67","0","0","0","1","0","0","0","20260212","20270204"
"3-68","1","0","1","0","1","0","0","20260209","20270210"
"3-69","1","0","1","1","1","1","0","20260209","20270210"
"3-7","0","0","0","0","1","0","0","20260213","20260904"
"3-70","0","0","0","1","0","0","0","20260212","20260423"
"3-71","0","0","0","0","1","0","0","20260213","20260424"
"3-72","1","0","0","0","0","0","0","20260209","20260427"
"3-73","0","1","0","0","0","0","0","20260210","20260421"
"3-74","0","0","1","0","0","0","0","20260211","20260422"
"3-75","0","0","0","0","0","1","0","20260214","20260425"
"3-76","0","0","0","0","0","0","1","20260215","20260426"
"3-77","1","1","1","1","1","1","1","20260209","20270210"
"3-8","1","1","1","1","0","0","0","20260209","20260907"
"3-83","1","0","0","0","0","0","0","20260209","20260518"
"3-84","0","1","0","0","0","0","0","20260210","20260519"
"3-85","0","0","1","0","0","0","0","20260211","20260520"
"3-854316086b70a17f2550","0","1","1","1","1","0","0","20260210","20270211"
"3-86","0","0","0","1","0","0","0","20260212","20260521"
"3-87","0","0","0","0","1","0","0","20260213","20260522"
"3-87dd9cf3be54b197febd","0","1","1","1","1","0","0","20260217","20260515"
"3-88","0","0","0","0","0","1","0","20260214","20260523"
"3-9","1","1","1","1","1","1","1","20260209","20260702"
"3-91","0","0","0","0","0","0","1","20260215","20260517"
"3-92","0","1","0","0","0","0","0","20260210","20260210"
"3-93","1","1","1","1","1","0","0","20260209","20261210"
"3-94","0","0","0","0","1","0","0","20260213","20261204"
"3-95","0","0","0","0","0","1","0","20260214","20261205"
"3-96","1","1","1","1","1","0","1","20260209","20261210"
"3-97","0","0","0","0","0","1","0","20260214","20260613"
"3-98","1","0","0","0","0","0","0","20260209","20260608"
"3-99","0","1","0","0","0","0","0","20260210","20260609"
"3-a50ffffdf175192676a9","1","0","0","0","0","0","0","20260216","20260511"
"3-b58f1dc2a3ff3e9991b2","1","0","0","0","0","1","1","20260214","20261019"
"3-cb7ecdc0cb8bd9553b1d","0","0","0","0","0","0","1","20260222","20260517"
"3-ddd9a9a42247f90d9ca2","0","0","0","0","0","0","1","20260215","20260524"
"3-merged_02f08ad1f9c280c57182","0","1","1","1","1","0","0","20260210","20260515"
"3-merged_032b37a2ee0fb227eb25","0","0","0","0","0","0","1","20260215","20260913"
"3-merged_046fbcb03a087abc0f38","0","0","1","0","0","0","0","20260211","20260729"
"3-merged_053040028da70c0b1b9a","0","1","0","0","0","0","0","20260210","20260728"
"3-merged_10c8c37c86281cceddaf","0","0","0","0","1","0","0","20260213","20260911"
"3-merged_1b6c457c05b14526faa1","0","0","0","0","0","0","1","20260215","20260726"
"3-merged_1dd877b2b8d06a54ef5e","0","0","0","0","1","0","0","20260213","20260515"
"3-merged_290407d3ab610291dc31","1","1","1","1","1","0","0","20260210","20260915"
"3-merged_5abc9740302e8e387fdf","0","0","0","0","1","0","0","20260213","20260731"
"3-merged_607f7ec0bb454a659e54","1","0","0","0","0","0","1","20260405","20260406"
"3-merged_61b116c60814345acf26","0","0","0","1","0","0","0","20260212","20260730"
"3-merged_7706687c88f6b82adcf7","1","1","1","1","0","0","0","20260223","20260326"
"3-merged_8617deb3393a72354b3c","1","1","1","0","0","0","0","20260223","20260429"
"3-merged_93f7c32b5c4402f300ed","0","0","0","0","0","1","0","20260214","20260516"
"3-merged_a0cd6522b498eb297670","1","1","1","1","0","0","0","20260223","20260326"
"3-merged_b9e4daa660ceb02c9193","1","1","1","1","1","1","1","20260210","20260915"
"3-merged_c4375dbf5dce628059e7","0","1","0","0","0","0","0","20260210","20260728"
"3-merged_d0d75e88eefb3e28b215","0","0","1","0","0","0","0","20260211","20260729"
"3-merged_dda287022b663dc8d88a","0","0","0","0","1","0","0","20260213","20260724"
"3-merged_e58981435994b66cf098","1","0","0","0","0","0","0","20260209","20260727"
"3-merged_f18241ba0307f3f1abf5","1","1","1","1","0","0","0","20260209","20260514"
