"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_timezone","wheelchair_boarding","level_id","platform_code"
"3-8220DB001751","1751","Clontarf Coast","","53.35987","-6.185434","","","0","","Europe/Dublin","0","",""
"3-8220DB001752","1752","North Bull Island","","53.361128","-6.18185","","","0","","Europe/Dublin","0","",""
"3-8220DB001753","1753","Dollymount Park","","53.362724","-6.178672","","","0","","Europe/Dublin","0","",""
"3-8220DB001754","1754","Doyles Lane","","53.364116","-6.176809","","","0","","Europe/Dublin","0","",""
"3-8220DB001755","1755","Seapark Apartments","","53.36636","-6.187136","","","0","","Europe/Dublin","0","",""
"3-8220DB001756","1756","Dollymount Avenue","","53.36721","-6.182853","","","0","","Europe/Dublin","0","",""
"3-8220DB001757","1757","Park Lawn","","53.36863","-6.182237","","","0","","Europe/Dublin","0","",""
"3-8220DB001758","1758","Baymount Park","","53.36813","-6.17539","","","0","","Europe/Dublin","0","",""
"3-8220DB001759","1759","The Oaks","","53.366","-6.174264","","","0","","Europe/Dublin","0","",""
"3-8220DB001760","1760","Seapark Apartments","","53.365972","-6.18776","","","0","","Europe/Dublin","0","",""
"3-8220DB001761","1761","Seapark Road","","53.363837","-6.188046","","","0","","Europe/Dublin","0","",""
"3-8220DB001762","1762","Seafield Road East","","53.363751","-6.19125","","","0","","Europe/Dublin","0","",""
"3-8220DB001763","1763","Seafield Road West","","53.364393","-6.195442","","","0","","Europe/Dublin","0","",""
"3-8220DB001764","1764","Blackheath Court","","53.365893","-6.195577","","","0","","Europe/Dublin","0","",""
"3-8220DB001765","1765","Blackheath Park","","53.366551","-6.202281","","","0","","Europe/Dublin","0","",""
"3-8220DB001766","1766","Clontarf Cemetery","","53.365116","-6.204851","","","0","","Europe/Dublin","0","",""
"3-8220DB001767","1767","Clontarf Castle","","53.363827","-6.205221","","","0","","Europe/Dublin","0","",""
"3-8220DB001769","1769","Park Lawn","","53.368876","-6.181884","","","0","","Europe/Dublin","0","",""
"3-8220DB001770","1770","Dollymount Avenue","","53.367086","-6.182751","","","0","","Europe/Dublin","0","",""
"3-8220DB001771","1771","Saint Gabriel's Road","","53.366042","-6.185247","","","0","","Europe/Dublin","0","",""
"3-8220DB001772","1772","Clontarf Cemetery","","53.365026","-6.205069","","","0","","Europe/Dublin","0","",""
"3-8220DB001773","1773","Blackheath Park","","53.366811","-6.203398","","","0","","Europe/Dublin","0","",""
"3-8220DB001774","1774","Blackheath Court","","53.366136","-6.1974","","","0","","Europe/Dublin","0","",""
"3-8220DB001775","1775","Seafield Road West","","53.36444","-6.195188","","","0","","Europe/Dublin","0","",""
"3-8220DB001776","1776","Seafield Road East","","53.363877","-6.191842","","","0","","Europe/Dublin","0","",""
"3-8220DB001777","1777","Seafield Avenue","","53.366339","-6.190699","","","0","","Europe/Dublin","0","",""
"3-8220DB001778","1778","Mount Prospect Park","","53.366614","-6.18916","","","0","","Europe/Dublin","0","",""
"3-8220DB001782","1782","Mask Crescent","","53.38239","-6.198172","","","0","","Europe/Dublin","0","",""
"3-8220DB001783","1783","Mcauley Road","","53.383803","-6.195962","","","0","","Europe/Dublin","0","",""
"3-8220DB001784","1784","Ennel Drive","","53.384621","-6.192981","","","0","","Europe/Dublin","0","",""
"3-8220DB001785","1785","Mcauley Drive","","53.382596","-6.191624","","","0","","Europe/Dublin","0","",""
"3-8220DB001786","1786","Ribh Road","","53.381994","-6.192235","","","0","","Europe/Dublin","0","",""
"3-8220DB001788","1788","Millbrook Road","","53.391614","-6.178806","","","0","","Europe/Dublin","0","",""
"3-8220DB001789","1789","Clonrosse Drive","","53.394263","-6.178603","","","0","","Europe/Dublin","0","",""
"3-8220DB001791","1791","Blunden Drive","","53.396587","-6.181947","","","0","","Europe/Dublin","0","",""
"3-8220DB001792","1792","Clonrosse Drive","","53.393525","-6.178559","","","0","","Europe/Dublin","0","",""
"3-8220DB001793","1793","Millbrook Road","","53.391684","-6.178698","","","0","","Europe/Dublin","0","",""
"3-8220DB001794","1794","Saint Anne's Park","","53.36948","-6.179419","","","0","","Europe/Dublin","0","",""
"3-8220DB001795","1795","Rosecourt","","53.361503","-6.296868","","","0","","Europe/Dublin","0","",""
"3-8220DB001796","1796","Ribh Road","","53.381789","-6.191177","","","0","","Europe/Dublin","0","",""
"3-8220DB001797","1797","Mcauley Drive","","53.383128","-6.191721","","","0","","Europe/Dublin","0","",""
"3-8220DB001798","1798","Ennel Drive","","53.384384","-6.19454","","","0","","Europe/Dublin","0","",""
"3-8220DB001799","1799","Mcauley Road","","53.383059","-6.196655","","","0","","Europe/Dublin","0","",""
"3-8220DB001800","1800","Mask Crescent","","53.382307","-6.199243","","","0","","Europe/Dublin","0","",""
"3-8220DB001801","1801","Gracefield Road","","53.382397","-6.202245","","","0","","Europe/Dublin","0","",""
"3-8220DB001802","1802","Cabra Road","","53.36142","-6.29461","","","0","","Europe/Dublin","0","",""
"3-8220DB001803","1803","Cabra Road","","53.36151","-6.29394","","","0","","Europe/Dublin","0","",""
"3-8220DB001804","1804","Rosecourt","","53.36163","-6.29735","","","0","","Europe/Dublin","0","",""
"3-8220DB001805","1805","Dunard","","53.361163","-6.297558","","","0","","Europe/Dublin","0","",""
"3-8220DB001806","1806","Skreen Road","","53.362907","-6.302642","","","0","","Europe/Dublin","0","",""
"3-8220DB001807","1807","Old Racecourse","","53.374415","-6.339263","","","0","","Europe/Dublin","0","",""
"3-8220DB001847","1847","Old Racecourse","","53.372902","-6.333926","","","0","","Europe/Dublin","0","",""
